,,,,,,,,
,,,SECUREBRD_001 1PCS BOM  (Bill of Materials),,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Item #,*Ref Des,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package,Type,Your Instructions / Notes
1,BAT1,1,Linx Technologies,BAT-HLD-012-SMT,Coin Cell Battery Holder,,SMD,
2,C1,1,TDK Corporation,C1608X7S1A475M080AC,"MLCC, 4.7uF 10V X7S",0603,SMD,
3,C2,1,KEMET,C0402C103K5RAC7411,"MLCC, 0.01uF 50V X7R",0402,SMD,
4,"C3, C4",2,Taiyo Yuden,UMK105B7104KV-FR,"MLCC, 0.1uF 50V X7R",0402,SMD,
5,C5,1,KEMET,C0603C106M8PACTU,"MLCC, 10uF 10V X5R",0603,SMD,
6,"C6, C7",2,Taiyo Yuden,TMR107B7105KA-T,"MLCC, 1uF 25V X7R",0603,SMD,
7,CN1,1,Molex,2137160001,USB Type C Connector Receptacle,,SMD,
8,D1,1,NXP,"PRTR5V0U2X,215",ESD protection diode,SOT143B,SMD,
9,"D2, D3",2,Nexperia,"PMEG2005AEA,115",Schottky Rectifier,SOD323-W,SMD,
10,"FB1, FB2, FB3",3,Murata Electronics,BLM15AG121SN1D,"Ferrite Bead, 120 Ohm @ 100MHz, 850mA, 150mOhm max",0402,SMD,
11,LD1,1,Kingbright Company LLC,APTD1608LSECK/J4-PF,Chip LED yellow,0603,SMD,
12,LD2,1,Kingbright Company LLC,APHD1608LSURCK,Chip LED red,0603,SMD,
13,LD3,1,Kingbright Company LLC,APTD1608LZGCK,Chip LED green,0603,SMD,
14,LD4,1,Kingbright Company LLC,APTD1608LVBC/D,Chip LED blue,0603,SMD,
15,R1,1,Vishay,CRCW04025K10FKEDC,"Resistor, 5.1k ohm 1% 1/16W",0402,SMD,
16,"R2, R3",2,Vishay,CRCW04021K20FKEDC,"Resistor, 1.2k ohm 1% 1/16W",0402,SMD,
17,R4,1,Vishay,CRCW04021K00FKEDC,"Resistor, 1k ohm 1% 1/16W",0402,SMD,
18,R5,1,Vishay,CRCW0402390RFKEDC,"Resistor, 390 ohm 1% 1/16W",0402,SMD,
19,"SW1, SW2",2,ALPS,SKRPABE010,Surface Mount Type TACT Switch,4pos,SMD,"SKRPASE010, SKRPANE010, SKRPADE010 as alternative"
20,SW3,1,ALPS,SKTADAE010,Surface Mount Type TACT Switch,4pos,SMD,"SKTAAAE010, SKTAACE010 as alternative"
21,U1,1,Fanstel Corp.,BT40,"BLE 5.2, 802.15.4 Modules",LGA,SMD,
22,U2,1,"Analog Devices, Inc.",ADP122ACPZ-3.3-R7,"Low Quiescent Current, CMOS Linear Regulator",6pos,SMD,
