基板名称,,BT40 Slim Board rev1.2,,,,,,,,,,
実装数,,1,台,,,,,,,,,
,,,,,,,,,,,,
No,部品分類,部品種類,メーカー名,メーカー型番,リファレンス,使用数,実装/未実装,必要数量,"
提供部品リスト",支給形状,パッケージ,備考
1,SMD,コイン電池ホルダー,Linx Technologies,BAT-HLD-012-SMT,BAT1,1,実装,1,,バラ,,
2,SMD,チップコンデンサー,TDK Corporation,C1608X7S1A475M080AC,C1,1,実装,1,,テープ,0603,
3,SMD,チップコンデンサー,KEMET,C0402C103K5RAC7411,C2,1,実装,1,,テープ,0402,
4,SMD,チップコンデンサー,Taiyo Yuden,UMK105B7104KV-FR,"C3, C4, C8",3,実装,3,,テープ,0402,
5,SMD,チップコンデンサー,KEMET,C0603C106M8PACTU,C5,1,実装,1,,テープ,0603,
6,SMD,チップコンデンサー,Taiyo Yuden,TMR107B7105KA-T,"C6, C7",2,実装,2,,テープ,0603,
7,SMD,USBコネクター,Global Connector Technology (GCT),USB4105-GF-A-120,CN1,1,実装,1,,テープ,,
8,SMD,ESD,NXP,"PRTR5V0U2X,215",D1,1,実装,1,,テープ,SOT143B,
9,SMD,SBD,Nexperia,"PMEG2005AEA,115","D2, D3",2,実装,2,,テープ,SOD323-W,
10,SMD,フェライトビーズ,Murata Electronics,BLM15AG121SN1D,"L1, L2, L3, L4",4,実装,4,,テープ,0402,
11,SMD,LED,Kingbright Company LLC,APTD1608LSECK/J4-PF,LD1,1,実装,1,,テープ,0603,
12,SMD,LED,Kingbright Company LLC,APHD1608LSURCK,LD2,1,実装,1,,テープ,0603,
13,SMD,LED,Kingbright Company LLC,APTD1608LZGCK,LD3,1,実装,1,,テープ,0603,
14,SMD,LED,Kingbright Company LLC,APTD1608LVBC/D,LD4,1,実装,1,,テープ,0603,
15,SMD,チップ抵抗,Vishay,CRCW04025K10FKED,R1,1,実装,1,,テープ,0402,
16,SMD,チップ抵抗,Vishay,CRCW04021K20FKEDC,"R2, R3, R4",3,実装,3,,テープ,0402,
17,SMD,チップ抵抗,Vishay,CRCW0402390RFKEDC,R5,1,実装,1,,テープ,0402,
18,SMD,チップ抵抗,Vishay,CRCW040210K0JNEDC,"R6, R7, R8, R9",4,実装,4,,テープ,0402,
19,SMD,タクトスイッチ,ALPS,SKRPACE010,SW1,1,実装,1,,テープ,4pos,
20,SMD,タクトスイッチ,ALPS,SKTADAE010,SW2,1,実装,1,,テープ,4pos,
21,SMD,BLEモジュール,Fanstel Corp.,BT40E,U1,1,実装,1,,テープ,LGA,
22,SMD,LDO,Torex Semiconductor,XC6206P332MR-G,U2,1,実装,1,,テープ,SOT23,
23,SMD,RTCC,Micro Crystal,RV-3028-C7 32.768kHz 1ppm TA QA,U3,1,実装,1,,テープ,SON-8,
