,,,,,,,,
,,,SECDONGL_001 1PCS BOM  (Bill of Materials),,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Item #,*Ref Des,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package,Type,Your Instructions / Notes
1,"C1, C2",2,AVX Corporation,06035A120FAT2A,"MLCC, 12pF 50V C0G",0603,SMD,
2,"C10, C11",2,KEMET,C0603C225K8RACTU,"MLCC, 2.2uF 10V X7R",0603,SMD,
3,"C3, C4",2,TDK Corporation,C1608X7S1A475M080AC,"MLCC, 4.7uF 10V X7S",0603,SMD,
4,"C5, C7, C8, C12",4,Taiyo Yuden,UMK105B7104KV-FR,"MLCC, 0.1uF 50V X7R",0402,SMD,
5,C6,1,KEMET,C0402C103K5RAC7411,"MLCC, 0.01uF 50V X7R",0402,SMD,
6,C9,1,KEMET,C0603C106M8PAC7867,"MLCC, 10uF 10V X5R",0603,SMD,
7,CN1,1,"HIROSE ELECTRIC CO., LTD",CX60-24S-UNIT,USB Type-C plug unit,,SMD,
8,D1,1,NXP,"PRTR5V0U2X,215",ESD protection diode,SOT143B,SMD,
9,"FB1, FB2, FB3",3,Murata Electronics,BLM15AG121SN1D,"Ferrite Bead, 120 Ohm @ 100MHz, 850mA, 150mOhm max",0402,SMD,
10,LD1,1,Kingbright Company LLC,APTD1608LSECK/J4-PF,Chip LED yellow,0603,SMD,
11,LD2,1,Kingbright Company LLC,APHD1608LSURCK,Chip LED red,0603,SMD,
12,LD3,1,Kingbright Company LLC,APTD1608LZGCK,Chip LED green,0603,SMD,
13,LD4,1,Kingbright Company LLC,APTD1608LVBC/D,Chip LED blue,0603,SMD,
14,R1,1,Yageo,AC0402FR-0710KL,"Resistor, 10k ohm 1% 1/16W",0402,SMD,
15,R2,1,Vishay,CRCW04025K10FKEDC,"Resistor, 5.1k ohm 1% 1/16W",0402,SMD,
16,"R3, R6",2,Vishay,CRCW04021K20FKEDC,"Resistor, 1.2k ohm 1% 1/16W",0402,SMD,
17,R4,1,Vishay,CRCW04021K00FKEDC,"Resistor, 1k ohm 1% 1/16W",0402,SMD,
18,R5,1,Vishay,CRCW0402390RFKEDC,"Resistor, 390 ohm 1% 1/16W",0402,SMD,
19,SW1,1,ALPS,SKRPABE010,Surface Mount Type TACT Switch,4pos,SMD,"SKRPASE010, SKRPANE010, SKRPADE010 as alternative"
20,SW2,1,ALPS,SKTADAE010,Surface Mount Type TACT Switch,4pos,SMD,"SKTAAAE010, SKTAACE010 as alternative"
21,U1,1,Raytac Corporation,MDBT50Q-P1MV2,MDBT50Q-P1MV2 (PCB Antenna),LGA,SMD,See: https://www.raytac.com/product/ins.php?index_id=47
22,U2,1,Microchip Technology,MIC5323-3.3YMT-TR,LDO regulator 3.3V 300mA,6pin-VDFN,SMD,
23,X1,1,NDK,NX3215SA-32.768K-STD-MUA-9,"Crystal, 32.768kHz 9pF SMD",XTAL_3215,SMD,
