"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"0";"RESISTOR_0603";"R0603";"R1, R2, R5";"抵抗器";"";
"9";"0.1uF";"CAP_0603";"C0603K";"C4, C6, C7, C8, C9, C10, C13, C14, C15";"コンデンサー";"";
"2";"10k";"RESISTOR_0603";"R0603";"R3, R4";"抵抗器";"";
"1";"1k";"RESISTOR_0603";"R0603";"R6";"抵抗器";"";
"3";"1uF";"CAP_0603";"C0603K";"C3, C5, C11";"コンデンサー";"";
"2";"2.7pF";"CAP_0603";"C0603K";"C1, C2";"コンデンサー";"";
"1";"4.7uF";"CAP_1206";"C1206";"C12";"コンデンサー";"";
"1";"680";"RESISTOR_0603";"R0603";"R7";"抵抗器";"";
"1";"APHD1608LQBC/D";"APHD1608LQBC/D";"CHIPLED_0603";"D2";"発光ダイオード";"";
"1";"APTD1608LCGCK";"APTD1608LCGCK";"CHIPLED_0603";"D1";"発光ダイオード";"";
"1";"BLM18EG601SN1D";"BLM18EG601SN1D";"R0603";"L1";"フェライトビーズ";"";
"1";"IF_7PIN";"IF_7PIN";"HEADER_7PIN";"CN2";"7-pin インターフェース";"";
"1";"LD39050PU33R_DEV";"LD39050PU33R_DEV";"DFN6-3X3_DEV";"U2";"LDO電圧レギュレータ";"";
"1";"NX3215SA_";"NX3215SA_";"NX3215_DEV";"X1";"水晶振動子";"";
"1";"SKRPACE010";"SKRPACE010";"SKRPACE010";"SW1";"表面実装用タクトスイッチ";"";
"1";"STM32F411RET6_";"STM32F411RET6_";"LQFP64-10X10_DEV";"U1";"ARM マイクロコントローラ";"";
"1";"TE-1734028";"TE-1734028";"TE-1734028";"CN1";"USB connector plug";"";
"1";"USBLC6-2SC6";"USBLC6-2SC6";"SOT23-6L";"U3";"Very low capacitance ESD protection";"";
